team_id_a,team_id_b,team_a_win,team_b_win,total_matches,dominance,point_diff_avg_a,point_diff_avg_b,home_points_avg,away_points_avg
BES,ULK,1.0,0.0,1.0,1.0,,,,
BIL,BAS,1.0,0.0,1.0,1.0,,,,
BIL,BIL,,,,,8.7,-8.7,78.7,72.2
BIL,CSK,1.0,1.0,2.0,0.0,,,,
BIL,CTU,0.0,1.0,1.0,0.0,,,,
BIL,MAD,1.0,0.0,1.0,1.0,,,,
BIL,MAL,1.0,0.0,1.0,1.0,,,,
BIL,NAN,1.0,0.0,1.0,1.0,,,,
BIL,OLY,1.0,0.0,1.0,1.0,,,,
BIL,SIE,1.0,0.0,1.0,1.0,,,,
BIL,ULK,0.0,1.0,1.0,0.0,,,,
BUD,BAR,1.0,0.0,1.0,1.0,,,,
BUD,BAS,1.0,0.0,1.0,1.0,,,,
BUD,BUD,,,,,-4.4,-16.933333333333334,75.86666666666666,72.8
BUD,CAN,1.0,0.0,1.0,1.0,,,,
BUD,CSK,1.0,0.0,1.0,1.0,,,,
BUD,DAR,1.0,0.0,1.0,1.0,,,,
BUD,IST,0.0,1.0,1.0,0.0,,,,
BUD,KHI,0.0,1.0,1.0,0.0,,,,
BUD,MAD,1.0,0.0,1.0,1.0,,,,
BUD,MIL,0.0,1.0,1.0,0.0,,,,
BUD,MUN,0.0,1.0,1.0,0.0,,,,
BUD,OLY,0.0,1.0,1.0,0.0,,,,
BUD,PAN,0.0,1.0,1.0,0.0,,,,
BUD,TEL,0.0,1.0,1.0,0.0,,,,
BUD,ULK,0.0,1.0,1.0,0.0,,,,
BUD,ZAL,0.0,1.0,1.0,0.0,,,,
CAN,BAR,1.0,0.0,1.0,1.0,,,,
CAN,BAS,0.0,1.0,1.0,0.0,,,,
CAN,BUD,1.0,0.0,1.0,1.0,,,,
CAN,CAN,,,,,-3.7333333333333334,-16.333333333333332,81.6,73.86666666666666
CAN,CSK,0.0,1.0,1.0,0.0,,,,
CAN,DAR,1.0,0.0,1.0,1.0,,,,
CAN,IST,0.0,1.0,1.0,0.0,,,,
CAN,KHI,0.0,1.0,1.0,0.0,,,,
CAN,MAD,0.0,1.0,1.0,0.0,,,,
CAN,MIL,0.0,1.0,1.0,0.0,,,,
CAN,MUN,0.0,1.0,1.0,0.0,,,,
CAN,OLY,1.0,0.0,1.0,1.0,,,,
CAN,PAN,0.0,1.0,1.0,0.0,,,,
CAN,TEL,1.0,0.0,1.0,1.0,,,,
CAN,ULK,0.0,1.0,1.0,0.0,,,,
CAN,ZAL,1.0,0.0,1.0,1.0,,,,
CED,BAS,2.0,0.0,2.0,1.0,,,,
CED,BER,0.0,1.0,1.0,0.0,,,,
CED,CED,,,,,-3.1818181818181817,-10.090909090909092,77.0,70.86363636363636
CED,CSK,0.0,1.0,1.0,0.0,,,,
CED,DAR,0.0,1.0,1.0,0.0,,,,
CED,IST,1.0,2.0,3.0,0.0,,,,
CED,LMG,1.0,1.0,2.0,0.0,,,,
CED,MAL,0.0,2.0,2.0,0.0,,,,
CED,MIL,0.0,2.0,2.0,0.0,,,,
CED,OLY,0.0,2.0,2.0,0.0,,,,
CED,PAN,0.0,1.0,1.0,0.0,,,,
CED,RED,1.0,0.0,1.0,1.0,,,,
CED,TEL,0.0,1.0,1.0,0.0,,,,
CED,TIV,0.0,1.0,1.0,0.0,,,,
CED,ULK,1.0,0.0,1.0,1.0,,,,
CED,ZAL,1.0,0.0,1.0,1.0,,,,
CHA,BAM,1.0,0.0,1.0,1.0,,,,
CHA,CHA,,,,,-3.0,-14.8,71.0,71.0
CHA,IST,0.0,1.0,1.0,0.0,,,,
CHA,MAD,1.0,1.0,2.0,0.0,,,,
CHA,MAL,1.0,0.0,1.0,1.0,,,,
CHA,MIL,0.0,1.0,1.0,0.0,,,,
CHA,OLY,0.0,1.0,1.0,0.0,,,,
CHA,PAR,1.0,0.0,1.0,1.0,,,,
CHA,ROM,0.0,1.0,1.0,0.0,,,,
CHA,TEL,0.0,1.0,1.0,0.0,,,,
CHL,BER,0.0,1.0,1.0,0.0,,,,
