game_id,game,round,phase,season_code,team_id_a,team_id_b,fast_break_points_a,fast_break_points_b,turnover_points_a,turnover_points_b,second_chance_points_a,second_chance_points_b,defensive_rebounds_a,offensive_rebounds_b,offensive_rebounds_a,defensive_rebounds_b,turnovers_starters_a,turnovers_bench_a,turnovers_starters_b,turnovers_bench_b,steals_starters_a,steals_bench_a,steals_starters_b,steals_bench_b,assists_starters_a,assists_bench_a,assists_starters_b,assists_bench_b,points_starters_a,points_bench_a,points_starters_b,points_bench_b,max_a,minute_prev_a,prev_a,minute_str_a,str_a,max_b,minute_prev_b,prev_b,minute_str_b,str_b,max_lead_a,max_lead_b,minute_max_lead_a,minute_max_lead_b,points_max_lead_a,points_max_lead_b
E2023_054,VIR-IST,6,REGULAR SEASON,E2023,VIR,IST,2,0,20,8,16,13,15,7,17,18,5,3,9,5,4,6,2,2,15,7,7,4,60,33,49,32,10,2,0-6,4,10-6,9,12,24-24,14,24-33,14,9,40,14,93-79,24-33
E2023_055,IST-ZAL,7,REGULAR SEASON,E2023,IST,ZAL,7,2,13,16,9,11,29,9,9,25,6,5,5,6,3,4,4,3,11,2,13,5,50,36,56,26,11,8,6-14,11,17-14,8,31,53-46,32,53-54,18,8,22,8,44-26,6-14
E2023_056,MIL-PAM,7,REGULAR SEASON,E2023,MIL,PAM,7,6,23,12,12,7,29,11,11,26,9,3,8,11,6,6,4,3,9,8,7,7,40,43,28,24,12,8,16-12,12,28-12,6,13,35-16,15,35-22,31,0,40,0,83-52,
E2023_057,TEL-MUN,7,REGULAR SEASON,E2023,TEL,MUN,8,6,28,19,8,8,15,8,9,21,9,8,12,11,9,3,3,2,12,8,4,10,56,37,47,43,8,16,31-36,18,39-36,8,19,46-38,21,46-46,9,6,29,12,67-58,19-25
E2023_058,PAR-ULK,7,REGULAR SEASON,E2023,PAR,ULK,5,6,14,5,12,11,20,12,10,22,7,1,9,3,3,4,2,1,15,5,12,6,40,45,58,26,7,27,56-67,30,63-67,13,6,15-12,9,15-25,5,15,1,19,5-0,39-54
E2023_059,MAD-VIR,7,REGULAR SEASON,E2023,MAD,VIR,6,2,16,11,8,7,29,5,8,24,4,4,12,7,4,3,3,1,21,7,13,4,66,34,45,29,12,35,78-65,37,90-65,9,29,68-46,32,68-55,26,6,39,4,96-70,9-15
E2023_060,OLY-BAS,7,REGULAR SEASON,E2023,OLY,BAS,10,14,11,16,5,8,21,10,5,24,9,4,8,6,3,2,3,3,17,3,11,7,61,13,36,39,11,3,2-2,5,13-2,12,10,26-16,12,26-28,11,18,5,20,13-2,32-50
E2023_061,BER-PAN,7,REGULAR SEASON,E2023,BER,PAN,2,2,8,15,22,7,19,9,15,26,5,8,8,4,2,5,8,0,10,9,19,8,50,35,69,30,8,26,55-72,27,63-72,10,13,33-31,15,33-41,2,17,12,26,31-29,55-72
E2023_062,MCO-ASV,7,REGULAR SEASON,E2023,MCO,ASV,0,0,16,5,12,14,22,14,13,29,2,5,15,2,1,9,2,2,8,10,11,4,33,47,49,21,11,16,28-34,19,39-34,11,6,12-12,9,12-23,10,11,40,9,80-70,12-23
E2023_063,BAR-RED,7,REGULAR SEASON,E2023,BAR,RED,0,2,19,10,8,15,23,18,4,26,3,6,7,4,4,0,5,0,11,10,13,10,36,50,51,30,9,13,30-23,14,39-23,8,6,15-6,8,15-14,17,0,15,0,42-25,
E2023_064,MCO-IST,8,REGULAR SEASON,E2023,MCO,IST,0,0,5,11,9,4,23,5,14,22,9,1,5,2,4,0,5,2,8,3,16,8,60,22,76,13,7,10,22-28,13,29-28,5,2,2-3,4,2-8,1,9,13,25,29-28,54-63
E2023_065,RED-ULK,8,REGULAR SEASON,E2023,RED,ULK,11,0,13,11,9,7,29,6,12,19,3,7,7,5,6,2,1,1,6,12,8,5,41,46,32,24,8,10,22-16,13,30-16,5,23,49-31,25,49-36,31,0,39,0,84-53,
E2023_066,TEL-OLY,8,REGULAR SEASON,E2023,TEL,OLY,4,6,10,8,15,19,24,18,12,24,3,4,8,4,3,2,2,1,11,6,14,7,27,47,53,26,7,26,46-60,29,53-60,8,7,13-14,9,13-22,0,15,0,20,,36-51
E2023_067,PAM-MAD,8,REGULAR SEASON,E2023,PAM,MAD,4,10,17,9,10,9,18,8,10,23,7,5,9,6,2,1,3,3,9,6,9,6,50,23,53,23,6,7,15-21,9,21-21,9,21,51-43,23,51-52,8,6,14,7,37-29,15-21
E2023_068,VIR-MIL,8,REGULAR SEASON,E2023,VIR,MIL,4,0,16,2,9,5,22,11,7,23,4,3,10,3,3,3,3,1,14,6,17,1,42,44,71,8,8,18,37-40,20,45-40,6,20,45-40,22,45-46,9,6,37,9,77-68,17-23
E2023_069,BER-ASV,8,REGULAR SEASON,E2023,BER,ASV,0,2,16,11,14,16,25,12,14,29,9,8,10,6,6,5,7,1,6,9,12,0,39,29,54,19,12,20,35-43,25,47-43,12,29,55-48,33,55-60,7,15,29,7,55-48,8-23
E2023_070,MUN-PAR,8,REGULAR SEASON,E2023,MUN,PAR,7,4,10,15,12,6,26,3,13,22,6,3,3,5,5,2,3,0,7,9,7,8,53,41,47,38,10,19,49-51,24,59-51,8,27,65-53,29,65-61,12,10,27,10,65-53,22-32
E2023_071,PAN-ZAL,8,REGULAR SEASON,E2023,PAN,ZAL,3,5,22,11,4,8,15,11,10,23,5,11,14,9,6,2,5,0,11,3,11,5,52,21,41,30,6,4,0-4,5,6-4,5,15,25-25,17,25-30,3,7,38,19,67-64,29-36
E2023_072,BAS-BAR,8,REGULAR SEASON,E2023,BAS,BAR,18,4,16,10,7,19,34,12,6,23,7,7,6,7,6,2,4,1,15,4,10,6,65,29,40,31,11,4,10-12,7,21-12,7,20,55-29,23,55-36,30,2,37,4,91-61,10-12
