season_player_id,season_code,player_id,player,team_id,games_played,games_started,minutes,points,two_points_made,two_points_attempted,three_points_made,three_points_attempted,free_throws_made,free_throws_attempted,offensive_rebounds,defensive_rebounds,total_rebounds,assists,steals,turnovers,blocks_favour,blocks_against,fouls_committed,fouls_received,valuation,plus_minus,minutes_per_game,points_per_game,two_points_made_per_game,two_points_attempted_per_game,two_points_percentage,three_points_made_per_game,three_points_attempted_per_game,three_points_percentage,free_throws_made_per_game,free_throws_attempted_per_game,free_throws_percentage,offensive_rebounds_per_game,defensive_rebounds_per_game,total_rebounds_per_game,assists_per_game,steals_per_game,turnovers_per_game,blocks_favour_per_game,blocks_against_per_game,fouls_committed_per_game,fouls_received_per_game,valuation_per_game,plus_minus_per_game
E2023_P010791_BER,E2023,P010791,"KOUMADJE, KHALIFA",BER,28.0,11.0,464.4,158,64,102,0,0,30,44,59,92,151,7,11,25,24,8,58,44,252,-82,16.59,5.64,2.29,3.64,0.627,0.0,0.0,0.0,1.07,1.57,0.682,2.11,3.29,5.39,0.25,0.39,0.89,0.86,0.29,2.07,1.57,9.0,-2.93
E2023_P003479_RED,E2023,P003479,"KUZMIC, OGNJEN",RED,3.0,1.0,20.5,0,0,4,0,0,0,0,6,1,7,5,0,1,1,1,1,0,6,8,6.84,0.0,0.0,1.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.33,2.33,1.67,0.0,0.33,0.33,0.33,0.33,0.0,2.0,2.67
E2023_P006435_BAR,E2023,P006435,"LAPROVITTOLA, NICOLAS",BAR,33.0,26.0,749.6,405,62,111,76,196,53,68,19,48,67,157,15,75,0,10,74,91,392,108,22.72,12.27,1.88,3.36,0.559,2.3,5.94,0.388,1.61,2.06,0.779,0.58,1.45,2.03,4.76,0.45,2.27,0.0,0.3,2.24,2.76,11.88,3.27
E2023_P010392_OLY,E2023,P010392,"LARENTZAKIS, GIANNOULIS",OLY,37.0,0.0,485.1,190,23,61,34,106,42,52,7,30,37,54,21,36,2,3,64,60,141,51,13.11,5.14,0.62,1.65,0.377,0.92,2.86,0.321,1.14,1.41,0.808,0.19,0.81,1.0,1.46,0.57,0.97,0.05,0.08,1.73,1.62,3.81,1.38
E2023_P007200_IST,E2023,P007200,"LARKIN, SHANE",IST,35.0,33.0,1107.6,587,97,177,88,225,129,142,6,93,99,177,40,68,2,9,49,149,698,-38,31.65,16.77,2.77,5.06,0.548,2.51,6.43,0.391,3.69,4.06,0.908,0.17,2.66,2.83,5.06,1.14,1.94,0.06,0.26,1.4,4.26,19.94,-1.09
E2023_P004194_ASV,E2023,P004194,"LAUVERGNE, JOFFREY",ASV,31.0,21.0,764.6,390,140,256,19,53,53,73,52,108,160,55,13,59,7,24,61,91,402,-122,24.66,12.58,4.52,8.26,0.547,0.61,1.71,0.358,1.71,2.35,0.726,1.68,3.48,5.16,1.77,0.42,1.9,0.23,0.77,1.97,2.94,12.97,-3.94
E2023_P006860_ZAL,E2023,P006860,"LAVRINOVICIUS, DANIELIUS",ZAL,19.0,2.0,120.4,26,5,8,4,14,4,6,11,19,30,3,2,5,1,1,17,7,31,-2,6.34,1.37,0.26,0.42,0.625,0.21,0.74,0.286,0.21,0.32,0.667,0.58,1.0,1.58,0.16,0.11,0.26,0.05,0.05,0.89,0.37,1.63,-0.11
E2023_P004720_RED,E2023,P004720,"LAZAREVIC, STEFAN",RED,19.0,2.0,132.0,22,7,12,2,6,2,2,4,14,18,3,3,4,0,2,26,5,10,10,6.95,1.16,0.37,0.63,0.583,0.11,0.32,0.333,0.11,0.11,1.0,0.21,0.74,0.95,0.16,0.16,0.21,0.0,0.11,1.37,0.26,0.53,0.53
E2023_PLUO_RED,E2023,PLUO,"LAZIC, BRANKO",RED,22.0,16.0,303.2,60,8,21,11,38,11,12,14,18,32,8,8,7,1,0,57,19,23,-17,13.78,2.73,0.36,0.95,0.381,0.5,1.73,0.289,0.5,0.55,0.917,0.64,0.82,1.45,0.36,0.36,0.32,0.05,0.0,2.59,0.86,1.05,-0.77
E2023_P008987_PAR,E2023,P008987,"LEDAY, ZACH",PAR,29.0,22.0,871.8,296,76,150,21,58,81,92,36,96,132,44,22,36,3,7,55,103,380,-31,30.06,10.21,2.62,5.17,0.507,0.72,2.0,0.362,2.79,3.17,0.88,1.24,3.31,4.55,1.52,0.76,1.24,0.1,0.24,1.9,3.55,13.1,-1.07
